Date,sanmc,bbvamc,sabmc,bktmc
2011-04-14,4.658077,5.623241999999999,1.54188,2.69844
2011-04-15,4.635084,5.53795,1.518589,2.655655
2011-04-18,4.514493,5.377363,1.498264,2.5841790000000002
2011-04-19,4.541978,5.415342,1.5110059999999998,2.5554799999999998
2011-04-20,4.588529,5.598324,1.5002440000000001,2.566961
2011-04-21,4.621621,5.672733999999999,1.506394,2.609222
2011-04-26,4.681635,5.691675,1.505884,2.604003
2011-04-27,4.753429,5.76879,1.513053,2.623827
2011-04-28,4.824095,5.855377,1.531492,2.636348
2011-04-29,4.835876,5.858080999999999,1.53303,2.62957
2011-05-02,4.82584,5.89461,1.543273,2.654614
2011-05-03,4.833911,5.8594349999999995,1.5448110000000002,2.664005
2011-05-04,4.773963,5.787054,1.5540260000000001,2.7151330000000002
2011-05-05,4.726696,5.6997919999999995,1.5396889999999999,2.639478
2011-05-06,4.773388,5.7085870000000005,1.5509600000000001,2.651484
2011-05-09,4.6402339999999995,5.536766,1.509978,2.582614
2011-05-10,4.713439,5.578031,1.514591,2.6055669999999997
2011-05-11,4.71517,5.598324,1.5197120000000002,2.605043
2011-05-12,4.7105559999999995,5.546914,1.524324,2.643657
2011-05-13,4.619483,5.440034,1.496151,2.5972169999999997
2011-05-16,4.64888,5.4752089999999995,1.504857,2.5972169999999997
2011-05-17,4.613715,5.452888,1.504857,2.535133
2011-05-18,4.651762000000001,5.500915,1.498198,2.481391
2011-05-19,4.644841,5.473856,1.492566,2.4099150000000003
2011-05-20,4.5566510000000005,5.37036,1.4761739999999999,2.358787
2011-05-23,4.479986,5.239803,1.450056,2.294614
2011-05-24,4.5065,5.239128,1.442879,2.2878279999999998
2011-05-25,4.582016,5.291891000000001,1.493076,2.3311290000000002
2011-05-26,4.554347,5.301362,1.501272,2.415652
2011-05-27,4.6050699999999996,5.330449,1.507931,2.460527
2011-05-30,4.579706,5.321654,1.505884,2.424002
2011-05-31,4.763589,5.489416,1.527908,2.479825
2011-06-01,4.6655940000000005,5.38186,1.506904,2.441744
